AAPL,2019-01-30T11:30:00Z,163.04,163.2,163.04,163.2
SBER,2019-01-30T11:30:00Z,214.8,214.8,214.45,214.61
AMZN,2019-01-30T11:30:00Z,1618.99,1618.99,1617.92,1617.92
AAPL,2019-01-30T11:35:00Z,163.19,163.19,163.19,163.19
SBER,2019-01-30T11:35:00Z,214.61,214.67,214.41,214.53
AMZN,2019-01-30T11:35:00Z,1617.25,1617.25,1617.25,1617.25
AAPL,2019-01-30T11:40:00Z,163.19,163.19,163.01,163.18
SBER,2019-01-30T11:40:00Z,214.59,214.85,214.52,214.81
AMZN,2019-01-30T11:40:00Z,1617.25,1617.25,1617.25,1617.25
AAPL,2019-01-30T11:45:00Z,163.07,163.2,163.01,163.01
SBER,2019-01-30T11:45:00Z,214.81,215.1,214.78,215
AAPL,2019-01-30T11:50:00Z,163.2,163.24,162.07,163.24
SBER,2019-01-30T11:50:00Z,215,215.05,214.75,215
AAPL,2019-01-30T11:55:00Z,163.01,163.01,163.01,163.01
SBER,2019-01-30T11:55:00Z,215,215.04,214.82,214.85
AAPL,2019-01-30T12:00:00Z,163.2,163.3,163.02,163.03
SBER,2019-01-30T12:00:00Z,214.85,214.85,214.46,214.59
AAPL,2019-01-30T12:05:00Z,163.33,163.34,163.02,163.02
SBER,2019-01-30T12:05:00Z,214.59,214.74,214.55,214.66
AAPL,2019-01-30T12:10:00Z,163.02,163.2,163,163
SBER,2019-01-30T12:10:00Z,214.71,214.71,214.16,214.24
AMZN,2019-01-30T12:10:00Z,1617.31,1617.31,1617.31,1617.31
AAPL,2019-01-30T12:15:00Z,163.2,163.2,162.8,163.03
SBER,2019-01-30T12:15:00Z,214.3,214.52,214.15,214.42
AAPL,2019-01-30T12:20:00Z,162.96,163.03,162.67,163.03
SBER,2019-01-30T12:20:00Z,214.38,214.51,214.38,214.46
AAPL,2019-01-30T12:25:00Z,162.76,162.76,162.73,162.73
SBER,2019-01-30T12:25:00Z,214.46,214.55,214.4,214.4
AAPL,2019-01-30T12:30:00Z,163.16,163.29,162.81,163
SBER,2019-01-30T12:30:00Z,214.4,214.9,214.4,214.72
AMZN,2019-01-30T12:30:00Z,1620,1620.99,1620,1620.99
AAPL,2019-01-30T12:35:00Z,163.07,163.15,162.85,163
SBER,2019-01-30T12:35:00Z,214.77,214.84,214.55,214.66
AMZN,2019-01-30T12:35:00Z,1621.63,1622.6,1621.4,1622.6
AAPL,2019-01-30T12:40:00Z,162.9,163,162.73,162.78
SBER,2019-01-30T12:40:00Z,214.76,214.77,214.41,214.51
AMZN,2019-01-30T12:40:00Z,1622.11,1622.49,1621.27,1622.45
AAPL,2019-01-30T12:45:00Z,162.77,163.15,162.77,162.92
SBER,2019-01-30T12:45:00Z,214.5,214.65,214.41,214.55
AMZN,2019-01-30T12:45:00Z,1621.69,1622,1620,1620
AAPL,2019-01-30T12:50:00Z,162.86,162.88,162.75,162.8
SBER,2019-01-30T12:50:00Z,214.55,214.6,214.41,214.45
AMZN,2019-01-30T12:50:00Z,1620.95,1621.59,1620.41,1621
AAPL,2019-01-30T12:55:00Z,162.87,162.98,162.6,162.7
SBER,2019-01-30T12:55:00Z,214.45,214.57,214.15,214.15
AMZN,2019-01-30T12:55:00Z,1621.53,1621.53,1620.59,1621.15
AAPL,2019-01-30T13:00:00Z,162.79,162.82,162.2,162.2
SBER,2019-01-30T13:00:00Z,214.22,214.3,213.63,213.8
AMZN,2019-01-30T13:00:00Z,1621.74,1622.95,1621.74,1622.12
